name,width,height,depth,weight
BoxType1_#1,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#2,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#3,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#4,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#5,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#6,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#7,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#8,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType1_#9,660.0644113578189,460.9195154490742,142.51858298974204,206.3996891835961,black
BoxType2_#1,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#2,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#3,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#4,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#5,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#6,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#7,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType2_#8,590.456909451575,336.46983663953773,186.3033553227283,85.37256617272006,white
BoxType3_#1,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#2,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#3,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#4,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#5,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#6,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
BoxType3_#7,144.35024963629593,911.8185754321531,227.5458927039246,291.1152309577234,white
