name,width,height,depth,weight
BoxType1_#1,29.13968447432409,24.975908457419365,33.77583172864543,21.424364237570327
BoxType1_#2,27.083570325751253,30.472318668916785,34.41349316248673,27.224467495198354
BoxType1_#3,21.805978908597254,29.85371099875568,31.688132917038708,34.722326136525396
BoxType1_#4,24.52315173776066,34.7417517004849,22.090636476353193,24.813595452536195
BoxType1_#5,27.234535670613024,36.7723070056073,23.116855956696586,31.28815260171301
BoxType1_#6,26.624492519325983,22.64719051824604,38.53388977009612,28.238238986961917
BoxType1_#7,21.738838964867085,33.20828242666343,37.37603422002438,34.0717814037574
BoxType1_#8,37.823712050017875,34.847537355689816,34.24017588143874,28.507931431800465
BoxType1_#9,33.96211819403942,21.948257960792724,25.803560933887393,26.240861582842342
BoxType1_#10,25.187118773598982,27.047115825820015,29.239910283779345,34.03517120449692
BoxType1_#11,34.88982310783972,30.802103253718087,34.42598673223249,23.95167897220764
BoxType1_#12,21.544813896801017,38.80588958784288,22.81901494820714,37.854617842580616
BoxType1_#13,21.326887145573348,20.82664068078264,22.97568804274869,26.114829847193008
BoxType1_#14,39.30175158781904,37.394431290035186,24.589095203735006,30.965417208332827
BoxType1_#15,33.06558688547335,25.877397784872137,29.0175887196838,20.19479022163724
BoxType1_#16,36.778555775318814,32.79362182665023,25.375817750474322,29.21121367661904
BoxType1_#17,34.12895291934911,27.97150631254801,30.81705431247307,34.41542873499779
BoxType1_#18,27.374679621462,20.832727310674628,20.836708486242443,35.942530046334646
BoxType1_#19,24.693375954941814,32.91423329780514,26.025714442544228,26.2622920154543
BoxType1_#20,28.841198444097532,21.020650453764908,21.211377763515543,28.768717504570372
BoxType1_#21,38.67053462539802,38.66380990413944,20.64451084042105,28.322954929817406
BoxType1_#22,35.397070564352205,34.239047327590185,38.13879105276111,25.491112768020233
BoxType1_#23,24.975359617131335,31.874454892430627,24.65046586962291,34.54048454067628
BoxType1_#24,25.109927914637005,26.676752253781846,35.794678164330776,25.24937569007417
BoxType1_#25,38.846640760146954,33.276409770150934,36.86675223022962,37.901179307940126
BoxType1_#26,20.528407866685434,39.655094884604296,25.68152360519779,34.85252933152392
BoxType1_#27,24.759428054196103,21.133201371729342,32.45679218976572,25.29842362836621
BoxType1_#28,36.22139521045413,34.770221815343675,32.75378540718107,38.88248681589512
BoxType1_#29,31.071720933075525,30.91004538266552,21.640759012889184,39.015295104870795
BoxType1_#30,35.22291692772608,33.138025200910064,38.70178567094672,25.42321342183616
BoxType2_#1,35.269723795255985,26.173628492444436,27.75089440002605,32.85101381506343
